"","...1.x","Data Venda","User ID","Product ID","Product Name","Brand","Category","Price","Rating","Color","Size","Unique ID","...1.y","Motivo devolução"
"1",1,"10/29/2022",19,1,"Dress","Adidas","Men's Fashion",43,2.57756934759258,"Black","XL","ID100000000",17,"Arrependimento"
"2",2,"5/12/2022",97,2,"Shoes","H&M","Women's Fashion",56,2.44859707779194,"Black","L","ID100900901",NA,NA
"3",3,"7/26/2022",25,3,"Dress","Adidas","Women's Fashion",71,2.82685811818921,"Yellow","XL","ID101801802",NA,NA
"4",4,"1/4/2022",57,4,"Shoes","Zara",NA,47,3.05348592983804,"White","S","ID102702703",18,"Não informado"
"5",5,"12/24/2022",79,5,"T-shirt","Adidas","Men's Fashion",51,2.43582578316266,"Black","M","ID103603604",NA,NA
"6",6,"1/22/2022",98,6,"Dress","Adidas","Men's Fashion",23,2.1539437509119,"Yellow","L","ID104504504",100,"Produto com defeito"
"7",7,"7/12/2022",16,7,"Jeans","Gucci","Men's Fashion",15,1.56788153620531,"White","XL","ID105405405",93,"Não informado"
"8",8,"12/10/2022",63,8,"Sweater","Zara","Kids' Fashion",44,2.29615144804673,"Blue","XL","ID106306306",NA,NA
"9",9,"2/2/2022",96,9,"Sweater","H&M","Men's Fashion",58,2.76109723603835,"Green","XL","ID107207207",NA,NA
"10",10,"8/24/2022",36,10,"T-shirt","Zara","Kids' Fashion",38,1.84187651826143,"White","XL","ID108108108",NA,NA
"11",11,"1/17/2022",69,11,"T-shirt","Adidas","Men's Fashion",60,2.95318749985046,"Red","S","ID109009009",46,"Produto com defeito"
"12",12,"9/20/2022",87,12,"Sweater","Gucci","Kids' Fashion",61,3.15684928775274,"Yellow","M","ID109909910",NA,NA
"13",13,"7/30/2022",9,13,"Jeans","Nike","Kids' Fashion",30,1.93512703898529,"Red","M","ID110810811",146,"Produto com defeito"
"14",14,"4/30/2022",50,14,"Dress","Zara","Women's Fashion",58,2.50029155976557,"White","L","ID111711712",NA,NA
"15",15,"9/21/2022",31,15,"Shoes","Zara","Men's Fashion",43,2.38961236476284,"Yellow","M","ID112612613",NA,NA
"16",16,"4/10/2022",37,NA,"Dress","Adidas","Women's Fashion",44,2.46186172546859,"Blue","S","ID113513513",111,"Produto com defeito"
"17",17,"8/7/2022",41,17,"Dress","Gucci","Women's Fashion",55,3.17392351865159,"Blue","XL","ID114414414",121,"Arrependimento"
"18",18,"12/31/2022",15,18,"Jeans","Gucci","Women's Fashion",47,2.43824712153271,"Red","XL","ID115315315",NA,NA
"19",19,"1/1/2022",84,19,"Shoes","Gucci","Women's Fashion",42,2.24852165720087,"White","M","ID116216216",NA,NA
